,title,subtitle,link
0,ARSENAL 3 BODO-GLIMT 0,"Nketiah, Holding & Vieira net as stand-ins give Arteta headache",https://www.thesun.co.uk/sport/20031122/arsenal-bodo-glimt-europa-league-nketiah-holding-vieira/
1,'ONE-TRICK PONY',Scholes slams £85.5m Antony AGAIN after Man Utd sneak Europa League win,https://www.thesun.co.uk/sport/20031935/paul-scholes-man-utd-blast-antony-jadon-sancho/
2,RON DECISION,Scholes slams Ten Hag for ‘disrespecting’ Ronaldo by playing legend vs Omonia,https://www.thesun.co.uk/sport/20029884/paul-scholes-slams-erik-ten-hag-cristiano-ronaldo/
3,WES RELIEF,Chelsea injury boost as Fofana could be out for less than initially feared,https://www.thesun.co.uk/sport/20029113/chelsea-injury-boost-wesley-fofana-out-three-weeks/
4,BIG PRIZE,Win incredible Rolex or £16k alternative from just 89p with special discount code,https://www.thesun.co.uk/sport/betting-tips/18922011/win-rolex-pepsi-7-days/
5,CRIS CRISIS,Ronaldo misses OPEN GOAL as nightmare season shows no sign of ending vs Omonia,https://www.thesun.co.uk/sport/20030319/cristiano-ronaldo-miss-open-goal-europa-league/
6,MAN UTD VERDICT,Everton no gimme after Ten Hag almost suffers THIRD embarrassment of reign,https://www.thesun.co.uk/sport/football/20030390/man-utd-verdict-ten-hag-omonia-everton/
7,MAN UTD RATINGS,Rashford and Martial push Cristiano Ronaldo FURTHER down pecking order,https://www.thesun.co.uk/sport/20028949/omonia-2-man-utd-3-ratings-rashford-ronaldo/
8,ARSENAL RATINGS,Nketiah and Vieira stake claim for more Prem action in convincing win,https://www.thesun.co.uk/sport/20029662/arsenal-ratings-nketiah-vieira-marquinhos-arteta/
9,ARSENAL VERDICT,Much-changed side gives Arteta selection dilemmas for Liverpool,https://www.thesun.co.uk/sport/20029663/arsenal-verdict-arteta-liverpool-europa-league/
